headphones;width;height;fov;fps;stereopsis;antialiasing;textures;lightMode;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;locomotion;ambientSound;reverbZone;spatialSound;time;totalImmersion
2;794.323;441.2906;71;50;0;0;1;1;0.3490116;-0.5136237;0.08249581;0.3258027;0.3337335;1;1;0;1;1;1;0;0;698;58
2;1913.196;1062.887;81;54;0;0;1;1;0.9343538;0.302536;-0.2359483;0.3895001;0.1255156;1;1;1;1;2;0;0;1;1096;64
2;1774.742;985.9678;94;37;1;1;1;0;0.1672992;-0.7379877;0.3268957;0.6974319;0.6968409;0;0;0;0;3;1;0;1;1132;77
2;1119.315;621.8417;68;17;1;0;1;1;-0.7373104;-0.1310239;0.3065775;0.1987748;0.117627;1;0;0;0;2;1;0;0;634;28
2;310.2132;172.3407;94;17;1;0;1;0;0.2075461;-0.04374951;-0.4169894;0.8229822;0.8476276;0;1;0;1;2;0;1;0;888;17
2;1110.3;616.8336;42;40;1;1;0;1;-0.9879456;0.4654293;-0.5069719;0.6062296;0.687289;1;0;0;0;1;0;1;0;905;21
2;1485.328;825.182;82;42;0;0;1;0;-0.04927862;-0.6995813;-0.539892;0.9466088;0.6400766;0;0;1;0;1;1;1;0;1140;56
2;1219.841;677.6896;35;39;0;0;0;0;-0.6595337;0.08278686;-0.5394564;0.0477798;0.8558713;1;1;1;0;2;0;1;1;1134;38
0;253.1975;140.6653;90;17;1;1;0;0;0.4327979;-0.3420705;-0.5142038;0.2295313;0.4897904;1;0;0;0;1;0;0;1;817;12
0;312.6482;173.6934;88;59;1;1;0;0;-0.9049149;-0.4025221;-0.1121632;0.1608651;0.7939943;1;1;1;0;2;0;1;1;1070;36
0;1960.506;1089.17;76;53;1;1;1;1;-0.4845663;-0.132665;0.7696748;0.1566927;0.951969;1;1;1;1;2;1;0;0;807;64
0;1197.829;665.4603;73;55;1;0;0;0;-0.1247326;-0.1294574;0.318259;0.8125494;0.2424061;1;0;0;0;2;0;1;0;834;43
0;1674.563;930.3128;95;53;1;1;0;1;-0.01141894;0.2229313;0.4613979;0.08086729;0.5687618;0;1;0;0;3;0;1;0;687;59
0;1299.546;721.9699;58;32;0;0;1;0;0.08048999;-0.2407458;0.6359649;0.6239418;0.2810093;1;0;0;0;1;1;0;1;674;38
0;811.0118;450.5621;86;56;1;1;1;0;-0.6196921;-0.1152488;0.3321916;0.6101637;0.8035755;0;1;1;1;2;1;1;0;644;56
